id,sentiment,review
7472_9,1,"I really liked this movie. I've read a few of the other comments, and although I pity those who did not understand it, I do agree with some of the criticisms. Which, in a strange way, makes me like this movie all the more. I accept that they have got a pretty cast to remake an intelligent movie for the general public, yet it has so many levels and is still great to watch. I also love the movies, such as this one, which provoke so many debates, theories, possible endings and hidden subtext. Congratulations Mr.Crowe, definitely in my Top Ten.<br /><br />P.S. Saw this when it first came out whilst I was backpacking in Mexico, it was late at night and I had to get back to my hotel and I had a major paranoia trip! Where does the dream end and the real begin?"
12195_8,1,"Any film in the early days of Orson Welles is a triumph all the way to The third Man with Joseph Cotton. He is also wonderful in a Touch Of Evil. Please see them all! He tends to get pompous and self serving in films like F is for Fake, really stupid waste of film.Don't waste your time watching it. it is really ignorant. Orson Welles is a film icon and anyone studying film should see everything he has filmed. All his leading ladies are tremendous but in the end Welles became a fat drunk, like his character in A Touch Of Evil! For some reason Orson Welles had a way with women, I see how he could be considered attractive in his youth, not like Gary Cooper or Joseph Cotton, or Cary Grant,John Wayne, I could go on and on but I digress... and because I am a woman,I can see the attraction to him. He (Orson Welles) is one of the last true film makers and unless you count the film-makers of today: Tarantino, Scorscese, Spike Lee, most of the film makers just don't measure up to the film makers of the Forties! I know there are many more great film makers of today but in such a short amount of time I can't name them all. No Offense to any of the great film makers of this millennium! August 21,2006. Please remind me of some current up and coming film makers, I don't want to be stuck in the past! I love some of the films out now, but rarely are there any that I would put on a \100 best\"" list.. \""Hustle and Flow\"" was great, so was \""Fargo\"", and \""Oh, Brother, where art thou,\"" from a line in Sullivan's travels; another fine film from the forties! Can anyone give me a best list for the 90's and on up to 2006? I would like to know who to watch! Thank you! Also Props to this website! Where else can you plug a film or boo it! i love the ranting and raving from regular folks like me who can say what I want and I promise not to spoil any film for someone who hasn't seen it yet!"""
3743_10,1,"Tight script, good direction, excellent performances, strong cast, effective use of locations....<br /><br />Paul McGann gives a detailed, subtle performance as the man in the centre of a new murder investigation who may just have committed a similar murder previously.<br /><br />There is an interesting moral & emotional journey happening with his character (Ben Turner) and it intersects with the journey undertaken by Amanda Burton. Inevitably they cross over... Who has done what?<br /><br />The examination of WHY, both in the past and in the present, rather than WHO might have yielded a more interesting, Dostoyevskian story, but hey, who's complaining?<br /><br />"
6630_10,1,"This is an important film. It challenges the viewer and encourages you to pay attention. There's a lot to like here. The director seems interested in taking apart some of the more tired cinematic conventions. Unlike a lot of recent American cinema, this film takes an interest in what it means to make a movie in the first place. The DVD includes a lot of bonus features, and there are two commentaries that explain the movie for the viewers still befuddled after an initial viewing. When the film screened at Sundance, it made more than a few audience members uncomfortable and angry. This is a Sunday morning coffee movie, not a Friday night party movie. For the dedicated viewer, it's a treasure trove."
9891_10,1,"I first rented this film many years ago, and was completely enthralled by it. Just recently, feeling a strange need to revisit some of the way-too-few films that I've immensely enjoyed in my lifetime, I decided to give \Erendira\"" another look. And I'm glad I did, as I soon discovered that even the passage of time has not in the least dulled the shine of this film.<br /><br />The story is about a teenaged girl (Erendira, played remarkably by Claudia O'hana - in some respects she resembles Winona Ryder!) who accidentally burns down her grandmother's mansion after which the grandmother, played downright hypnotically by Irene Papas, forces the girl into a life of prostitution on the road to repay the damages. <br /><br />The viewing is at once fascinating and compelling - though, inspite of the basic premise, which deals with prostitution, is tastefully void of gratuitous steamy sexual content. The story revolves more around the interactions between the girl and her grandmother, and the various other colorful characters with whom they come into contact on their sojourn - which, by the way, is in the rough and tumble part of rural Mexico.<br /><br />The film is very atmospheric, arrestingly enigmatic with a decided dreamlike quality. It sometimes borders on the bizarre, but not to the point of, say, a David Lynch film. It's also worth mentioning that the film is very allegorical in nature, read the comments from previous viewers below...<br /><br />Often in the background you hear the sounds of a lone accordion, quiet and melancholy, adding just the right musical accents to highlight the Mexican setting. The cinematography of the rural places, many of which are in the desert, is quite superb.<br /><br />The film moves at a nice pace, neither too fast nor too slow, and after every scene I felt I had to rewind the tape and play it over again, just because it makes you want to do that. For me anyway, it really is that compelling.<br /><br />Hopefully you will see the film in its Spanish language version, with subtitles. I studied Spanish in high school as well as in college, and I was happy to be able to understand much of the dialogue. Por ejemplo: \""El mundo no es tan grande como pensaba.\"" (\""The world's not as big as I thought\"" - i.e., It's a small world.)<br /><br />This film somehow reminds me of stumbling upon a dusty old bottle of vintage wine, which, upon drinking, is immensely satisfying, however, you are left with some sadness upon realizing that there aren't more bottles just like this one."""
8276_10,1,"Now this is what I'm talking about. Finally, a low-budget horror outing that uses its limitations to its advantage. WENDIGO, while occasionally flawed, is a triumph of the imagination. Granted, it leans heavy on EVIL DEAD style camera moves for its moodiness, but it's still a damn sight better than 99% of direct to video dross.<br /><br />The story is pretty simple: a family takes a vacation at a remote cabin and are menaced by one particularly unhinged hunter. But director Larry Fessenden really knows how to build suspense and add layers of unsettling creepiness through the use of the mythical Wendigo. Is it real? Is it all in the boy's imagination? Is it an externalization of the child's emotional state? <br /><br />Some have quibbled that the film is unsatisfying because it's left to you to decide. Don't be put off by such petty nonsense. A film that makes you think is not one to avoid. It's one to rejoice in."
7879_7,1,"As with most of Eleanor Powell's films, this one plays out along the flimsiest of plots. For some reason -- oh it is explained! -- she's selected to transport a magnetic mine to Cuba. Good guys and bad guys compete for the mine and who is who gets confusing. But, as always, Powell's dancing is superb and worth the price of admission. And in this one Lahr plays his cowardly lion, evoking warm memories of that Technicolor film of 1939. A fringe benefit is hearing a young Frank, with that wonderful voice and skinny vulnerability that he abandoned for his wise-guy persona later on. In addition, the great drummer, Buddy Rich, has a wonderful time displaying his virtuosity. Watch particularly for his unique duet with Dorsey's trumpet man, Ziggy Elman. I say \unique\"" perhaps in ignorance, but I know of no other drum/trumpet sequence like this one on film or records. This film is fun. Even Skelton's goofy persona is relatively restrained. Powell shows again that she is the greatest film dancer ever."""
328_10,1,"Fascinating I approached I Am Curious (Yellow) and it's companion piece with great trepidation. I'd read numerous reports on its widely touted controversy and explicit sex. What I got wasn't this, but a thoroughly thought provoking and engaging cinema experience unlike any other. I sincerely believe that the majority of the commenter who felt the film was `lame' or `boring' approached the film as if it were pornography. Perhaps this is pornography, assuming pornography is something intended to titillate the senses, but it is intentionally un-erotic. Lena, the protagonist, throws her all into her performance giving it a realistic and humanity that is simply convincing and enduring. Her breasts may be saggy, her nipples unusually large, her thighs fat, and her face, chubby. But by the end of the film, the audience comes to identify with her, and accept her faults as human. This touch gives her even more believability out necessity. Had the director cast a Briget Bardot bombshell the effect would have been nullified. I cannot more highly recommend this thought provoking piece. Be prepared to invest much thought in this deliberately paced film. The patient and unassuming viewer will be thoroughly rewarded in ways most other films could dream."
2220_9,1,"We tend to forget that the master/slave context of the past centuries lead to more than well-tended estates, powered by large groups of enslaved people, and a lot of money for the white owners. It lead to a group of people caught in the middle - the offspring resulting from slave owners interferring with their female slaves.<br /><br />Some of these children just became more slaves, and others were free...but free and coloured, which back then meant anything but, relative to the lot of their sires.<br /><br />A class formed around these offspring - the gens de couleur libre or free people of colour - and that class was able, to a certain extent, to own property, raise themselves from downtrodden to educated, and to attain a comparative dignity. That is to say, they weren't slaves, but they were still exploited to a certain extent.<br /><br />Often, the women lived as mistresses to the white plantation masters and men of wealth, set up in their own houses, with allowances, schooling paid for for their children, and a kind of gentility, dependent on the respectability they chose to impose on their families. In essence, they were prostituting themselves to ensure their own prosperity, and relative independence from labour - an arrangement called plaçage.<br /><br />Feast of All Saints is a beautifully written story about the children of one such woman, the result of just such an arrangement with a local gentleman, and the people who touched on their lives, in both a negative and a positive way. The tale was an eye-opener for me, a New Zealander, with no real conception of the black/white lines, let alone that grey area in the middle where the gens de couleur libre trod gingerly.<br /><br />The characters are very three dimensional, and have been well-rendered in this adaption of the novel, by Anne Rice. The parts are well-cast, the costumes are wonderful, and the brutal way the lines are drawn out, with the blurred areas made all the more distinct by the conflicts the protagonists go through. The gens de couleur libre could not marry the whites, the slaves could not help themselves, and the whites, even the sympathetic ones, couldn't bear to face the economic reality of doing right by the people they depended on.<br /><br />I recommend this story, both the novel and the miniseries, to everyone, unreservedly. If you can't handle the truth you'll cringe and cower through some parts, as one injustice after another is meted out on those of colour, both by their white oppressors, and by their own people. Bear in mind though that this is nothing more than reality, and this tale is an absorbing way to learn about it.<br /><br />I know it may sound callous, but this miniseries both entertained me and enthralled me, despite the sour taste I found in my mouth at what went on, and I thoroughly enjoyed it. Watch it. If not read up on the period, because there's a lesson to be learned from it all."
5951_10,1,"Stylishly directed, picturesquely photographed and brilliantly acted  Crosby's interpretation seems exactly right, Hardwicke has his best role ever, while Bendix is a treat too  this Yankee's appeal is universal and irresistible.<br /><br />One of the principal joys of the movie, of course, are the songs. As might be expected, Bing is in fine voice. And although Hardwicke's solo has been cut, we can still hear him sing heartily as he dances merrily with Crosby and Bendix in their famous novelty number, \Busy Doing Nothing\"". It's also a treat to hear Rhonda Fleming, who, although she enjoyed an extensive stage and concert career as a singer, was rarely given a chance to be heard in the cinema. She has a lovely voice that more than matches her ravishing looksand she looks very fetching indeed in her Mary Kay Dodson costumes.<br /><br />Director Tay Garnett gets the most out of his lavish budget, using all the resources at his command to present every fabulous scene as effectively as possible. (Perhaps the eclipse looks a trifle too contrived, but who's complaining?) <br /><br />In short, as the trailer actually describes, an entertainment delight from start to finish."""
