,name,year,month,day,hour,lat,long,status,category,wind,pressure,ts_diameter,hu_diameter
0,Amy,1975,6,27,0,27.5,-79.0,tropical depression,-1,25,1013,,
1,Amy,1975,6,27,6,28.5,-79.0,tropical depression,-1,25,1013,,
2,Amy,1975,6,27,12,29.5,-79.0,tropical depression,-1,25,1013,,
3,Amy,1975,6,27,18,30.5,-79.0,tropical depression,-1,25,1013,,
4,Amy,1975,6,28,0,31.5,-78.8,tropical depression,-1,25,1012,,
5,Amy,1975,6,28,6,32.4,-78.7,tropical depression,-1,25,1012,,
6,Amy,1975,6,28,12,33.3,-78.0,tropical depression,-1,25,1011,,
7,Amy,1975,6,28,18,34.0,-77.0,tropical depression,-1,30,1006,,
8,Amy,1975,6,29,0,34.4,-75.8,tropical storm,0,35,1004,,
9,Amy,1975,6,29,6,34.0,-74.8,tropical storm,0,40,1002,,
10,Amy,1975,6,29,12,33.8,-73.8,tropical storm,0,45,1000,,
11,Amy,1975,6,29,18,33.8,-72.8,tropical storm,0,50,998,,
12,Amy,1975,6,30,0,34.3,-71.6,tropical storm,0,50,998,,
13,Amy,1975,6,30,6,35.6,-70.8,tropical storm,0,55,998,,
14,Amy,1975,6,30,12,35.9,-70.5,tropical storm,0,60,987,,
15,Amy,1975,6,30,18,36.2,-70.2,tropical storm,0,60,987,,
16,Amy,1975,7,1,0,36.2,-69.8,tropical storm,0,60,984,,
17,Amy,1975,7,1,6,36.2,-69.4,tropical storm,0,60,984,,
18,Amy,1975,7,1,12,36.2,-68.3,tropical storm,0,60,984,,
19,Amy,1975,7,1,18,36.7,-67.2,tropical storm,0,60,984,,
20,Amy,1975,7,2,0,37.4,-66.7,tropical storm,0,60,984,,
21,Amy,1975,7,2,6,37.3,-65.9,tropical storm,0,60,984,,
22,Amy,1975,7,2,12,37.3,-65.1,tropical storm,0,60,981,,
23,Amy,1975,7,2,18,37.3,-64.1,tropical storm,0,60,986,,
24,Amy,1975,7,3,0,37.7,-62.8,tropical storm,0,55,986,,
25,Amy,1975,7,3,6,38.2,-61.2,tropical storm,0,55,986,,
26,Amy,1975,7,3,12,39.3,-59.6,tropical storm,0,55,986,,
27,Amy,1975,7,3,18,40.5,-58.0,tropical storm,0,50,986,,
28,Amy,1975,7,4,0,42.5,-54.8,tropical storm,0,50,986,,
29,Amy,1975,7,4,6,44.5,-51.6,tropical storm,0,50,986,,
30,Caroline,1975,8,24,12,22.4,-69.8,tropical depression,-1,25,1011,,
31,Caroline,1975,8,24,18,21.9,-71.1,tropical depression,-1,25,1011,,
32,Caroline,1975,8,25,0,21.6,-72.5,tropical depression,-1,25,1010,,
33,Caroline,1975,8,25,6,21.2,-73.8,tropical depression,-1,25,1010,,
34,Caroline,1975,8,25,12,20.9,-75.1,tropical depression,-1,25,1011,,
35,Caroline,1975,8,25,18,20.6,-76.4,tropical depression,-1,25,1011,,
36,Caroline,1975,8,26,0,20.4,-77.7,tropical depression,-1,25,1011,,
37,Caroline,1975,8,26,6,20.3,-79.0,tropical depression,-1,25,1011,,
38,Caroline,1975,8,26,12,20.2,-80.3,tropical depression,-1,25,1012,,
39,Caroline,1975,8,26,18,20.2,-81.6,tropical depression,-1,25,1012,,
40,Caroline,1975,8,27,0,20.4,-82.8,tropical depression,-1,25,1013,,
41,Caroline,1975,8,27,6,20.8,-84.0,tropical depression,-1,25,1013,,
42,Caroline,1975,8,27,12,21.1,-85.1,tropical depression,-1,25,1014,,
43,Caroline,1975,8,27,18,21.5,-86.3,tropical depression,-1,25,1014,,
44,Caroline,1975,8,28,0,22.0,-87.5,tropical depression,-1,25,1014,,
45,Caroline,1975,8,28,6,22.4,-88.8,tropical depression,-1,25,1014,,
46,Caroline,1975,8,28,12,22.8,-90.1,tropical depression,-1,25,1013,,
47,Caroline,1975,8,28,18,22.9,-91.0,tropical depression,-1,25,1010,,
48,Caroline,1975,8,29,0,23.0,-91.9,tropical depression,-1,30,1007,,
49,Caroline,1975,8,29,6,23.1,-92.6,tropical storm,0,35,1003,,
50,Caroline,1975,8,29,12,23.2,-93.2,tropical storm,0,40,999,,
51,Caroline,1975,8,29,18,23.2,-93.6,tropical storm,0,50,994,,
52,Caroline,1975,8,30,0,23.3,-94.2,hurricane,1,65,990,,
53,Caroline,1975,8,30,6,23.5,-94.9,hurricane,1,65,990,,
54,Caroline,1975,8,30,12,23.7,-95.6,hurricane,1,65,989,,
55,Caroline,1975,8,30,18,23.8,-96.3,hurricane,1,70,987,,
56,Caroline,1975,8,31,0,24.0,-97.0,hurricane,3,100,973,,
57,Caroline,1975,8,31,6,24.1,-97.5,hurricane,3,100,963,,
58,Caroline,1975,8,31,12,24.3,-97.8,hurricane,2,90,963,,
59,Caroline,1975,8,31,18,24.8,-98.0,tropical storm,0,55,993,,
60,Caroline,1975,9,1,0,25.1,-98.3,tropical depression,-1,30,1000,,
61,Caroline,1975,9,1,6,25.2,-98.7,tropical depression,-1,20,1002,,
62,Caroline,1975,9,1,12,25.3,-99.0,tropical depression,-1,20,1002,,
63,Doris,1975,8,29,12,34.9,-48.9,tropical storm,0,45,1005,,
64,Doris,1975,8,29,18,35.2,-49.1,tropical storm,0,50,1000,,
65,Doris,1975,8,30,0,35.3,-48.9,tropical storm,0,55,997,,
66,Doris,1975,8,30,6,35.3,-48.5,tropical storm,0,55,997,,
67,Doris,1975,8,30,12,35.3,-48.0,tropical storm,0,55,997,,
68,Doris,1975,8,30,18,35.0,-47.1,tropical storm,0,55,997,,
69,Doris,1975,8,31,0,34.9,-46.3,hurricane,1,65,990,,
70,Doris,1975,8,31,6,34.8,-45.7,hurricane,1,65,990,,
71,Doris,1975,8,31,12,34.7,-45.2,hurricane,1,70,990,,
72,Doris,1975,8,31,18,34.6,-44.9,hurricane,1,70,990,,
73,Doris,1975,9,1,0,34.5,-44.6,hurricane,1,75,984,,
74,Doris,1975,9,1,6,34.6,-44.2,hurricane,1,75,984,,
75,Doris,1975,9,1,12,34.9,-44.0,hurricane,1,75,984,,
76,Doris,1975,9,1,18,35.4,-44.0,hurricane,1,75,984,,
77,Doris,1975,9,2,0,35.8,-44.4,hurricane,2,90,970,,
78,Doris,1975,9,2,6,36.4,-44.5,hurricane,2,95,965,,
79,Doris,1975,9,2,12,37.0,-44.3,hurricane,2,95,965,,
80,Doris,1975,9,2,18,37.7,-44.2,hurricane,2,95,965,,
81,Doris,1975,9,3,0,38.4,-43.8,hurricane,2,95,965,,
82,Doris,1975,9,3,6,39.7,-43.6,hurricane,2,95,965,,
83,Doris,1975,9,3,12,41.1,-43.0,hurricane,2,95,965,,
84,Doris,1975,9,3,18,42.0,-42.5,hurricane,2,90,970,,
85,Doris,1975,9,4,0,42.8,-42.0,tropical storm,0,60,995,,
86,Belle,1976,8,6,6,26.0,-72.8,tropical depression,-1,25,1012,,
87,Belle,1976,8,6,12,26.3,-73.0,tropical depression,-1,25,1012,,
88,Belle,1976,8,6,18,26.0,-73.4,tropical depression,-1,30,1009,,
89,Belle,1976,8,7,0,25.6,-73.2,tropical storm,0,40,1005,,
90,Belle,1976,8,7,6,26.0,-73.2,tropical storm,0,45,1000,,
91,Belle,1976,8,7,12,26.2,-73.7,tropical storm,0,55,993,,
92,Belle,1976,8,7,18,26.6,-74.2,hurricane,1,70,985,,
93,Belle,1976,8,8,0,26.9,-74.6,hurricane,1,80,972,,
94,Belle,1976,8,8,6,27.4,-75.1,hurricane,2,90,962,,
95,Belle,1976,8,8,12,28.1,-75.1,hurricane,2,95,959,,
96,Belle,1976,8,8,18,29.5,-75.3,hurricane,3,100,958,,
97,Belle,1976,8,9,0,30.9,-75.3,hurricane,3,105,957,,
98,Belle,1976,8,9,6,32.5,-75.2,hurricane,3,105,959,,
99,Belle,1976,8,9,12,34.4,-74.7,hurricane,2,95,963,,
100,Belle,1976,8,9,18,36.6,-74.2,hurricane,2,90,970,,
101,Belle,1976,8,10,0,38.8,-73.8,hurricane,1,80,977,,
102,Belle,1976,8,10,6,41.0,-73.2,tropical storm,0,60,983,,
103,Belle,1976,8,10,12,42.6,-72.4,tropical storm,0,35,992,,
104,Gloria,1976,9,26,12,23.0,-58.0,tropical depression,-1,20,1009,,
105,Gloria,1976,9,26,18,23.7,-58.1,tropical depression,-1,20,1007,,
106,Gloria,1976,9,27,0,24.3,-58.2,tropical depression,-1,25,1005,,
107,Gloria,1976,9,27,6,24.9,-58.1,tropical depression,-1,30,1001,,
108,Gloria,1976,9,27,12,25.7,-58.0,tropical storm,0,35,997,,
